,gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
count,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0
mean,0.4769924283027649,0.8242083787918091,0.4586654007434845,0.7944534420967102,0.6029242873191833,0.7222253680229187,,0.04592125862836838,0.9644491076469421,0.05238008499145508,1.5,1.625
std,0.27879437804222107,0.1956832855939865,0.26747846603393555,0.19368378818035126,0.2596980929374695,0.22814109921455383,,0.14657223224639893,0.14092804491519928,0.14517834782600403,1.1163472379949235,1.0439464165382317
min,0.023686176165938377,0.13890652358531952,0.032410018146038055,0.04267756640911102,0.07866984605789185,0.08195744454860687,,3.567997134724943e-13,0.026657074689865112,7.777874700792036e-29,0.0,0.0
25%,0.23292360454797745,0.7392041087150574,0.26704034209251404,0.7149840891361237,0.39563293009996414,0.5594315230846405,,1.7998630426063755e-06,0.9988082945346832,3.8109202378261865e-15,0.75,1.0
50%,0.4655696600675583,0.8992986381053925,0.4399600028991699,0.8373783528804779,0.6531408429145813,0.7712249159812927,,5.584924292634241e-05,0.9999931752681732,7.104448539879682e-12,2.0,2.0
75%,0.7216030061244965,0.9771189391613007,0.6530573219060898,0.9392110705375671,0.7954768985509872,0.9038295745849609,,0.00601473159622401,0.9999998509883881,7.2355814495495e-07,2.0,2.0
max,0.9557103514671326,0.9951987862586975,0.9727998375892639,0.9941567182540894,0.9802876710891724,0.9809879660606384,,0.7528271675109863,1.0,0.49999967217445374,3.0,3.0
