,precision,recall,f1-score,support
0,0.9841269841269841,0.775,0.8671328671328671,400.0
1,0.8764568764568764,0.94,0.9071170084439083,400.0
2,0.8869179600886918,1.0,0.9400705052878966,400.0
3,0.9555555555555556,0.9675,0.9614906832298137,400.0
accuracy,0.920625,0.920625,0.920625,0.920625
macro avg,0.925764344057027,0.920625,0.9189527660236214,1600.0
weighted avg,0.925764344057027,0.920625,0.9189527660236213,1600.0
