model_name,mean_macro_f1,std_macro_f1,ci_lower,ci_upper,n_folds,ci_width,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,cohen_kappa,matthews_corrcoef,log_loss,roc_auc_ovr,roc_auc_ovo,p_gc_vs_sm_del,p_gc_vs_lm_del,d_gc_vs_sm_del,d_gc_vs_lm_del,sanity_mean,sanity_p,corr_entropy_gc_del,sanity_valid,robust_score,rank
vgg19,0.9592392398070257,0.013495027531786462,0.9424829499660379,0.9759955296480136,5,0.03351257968197574,0.925,0.925,0.9286678958339654,0.925,0.9235566284543396,0.9235566284543396,0.9,0.9019742899187136,0.570375841415937,0.9844768229166666,0.9844768229166666,0.9917038746151684,2.2197123088014878e-11,-0.0007380098,-0.502957,,,-0.2513871301840101,False,0.9424829499660379,1
rest_net_50,0.9582696200897087,0.012138646409877038,0.943197499855639,0.9733417403237784,5,0.03014424046813935,0.920625,0.920625,0.925764344057027,0.920625,0.9189527660236214,0.9189527660236212,0.8941666666666667,0.8966668088384863,0.579278900066107,0.982771875,0.982771875,0.2320567959141615,4.759321379673138e-09,0.08497602,-0.43419835,,,-0.1666234009295989,False,0.943197499855639,2
propose,0.9559453592335796,0.010965639020739302,0.9423297200442292,0.96956099842293,5,0.027231278378700763,0.92375,0.92375,0.9284558648751472,0.92375,0.9222901813595475,0.9222901813595478,0.8983333333333333,0.9006446701943327,0.6086568364541992,0.98313046875,0.98313046875,0.2828971565301408,8.826845254103365e-24,0.07632853,-0.8148081,,,-0.3196458174331023,False,0.9423297200442292,3
