,precision,recall,f1-score,support
0,0.9781931464174455,0.785,0.871012482662968,400.0
1,0.8915094339622641,0.945,0.9174757281553398,400.0
2,0.8791208791208791,1.0,0.935672514619883,400.0
3,0.965,0.965,0.965,400.0
accuracy,0.92375,0.92375,0.92375,0.92375
macro avg,0.9284558648751471,0.92375,0.9222901813595477,1600.0
weighted avg,0.9284558648751471,0.92375,0.9222901813595478,1600.0
