,gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
count,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0
mean,0.4676666259765625,0.799929678440094,0.4503036141395569,0.7550632357597351,0.6874523758888245,0.6299340128898621,,0.04382552206516266,0.9669366478919983,0.023801904171705246,1.505,1.555
std,0.27442699670791626,0.18246129155158997,0.3192356526851654,0.16953809559345245,0.23018191754817963,0.24717237055301666,,0.15303383767604828,0.13408263027668,0.09540363401174545,1.120828390703517,1.082977006210149
min,0.026749862357974052,0.1491595208644867,0.02552773803472519,0.21159957349300385,0.06639410555362701,0.06152881681919098,,1.5217108172496663e-12,0.09263896942138672,7.248808383929873e-28,0.0,0.0
25%,0.2091275416314602,0.6918645799160004,0.14774158596992493,0.6587467938661575,0.5392432808876038,0.4911622256040573,,4.5469036535905616e-07,0.9998145550489426,1.4758908206367577e-16,0.0,1.0
50%,0.5331844091415405,0.8236076235771179,0.4714849442243576,0.7539677023887634,0.7375678420066833,0.6747866868972778,,2.1489707251021173e-05,0.9999977946281433,6.980105783736118e-13,2.0,2.0
75%,0.6867826879024506,0.9627976715564728,0.7751803547143936,0.8860087692737579,0.8735835254192352,0.8256397545337677,,0.0011801386426668614,1.0,4.9659928391676544e-09,2.0,2.0
max,0.9790884256362915,0.9891678690910339,0.9331545233726501,0.9878485798835754,0.9882199764251709,0.9875667095184326,,1.1240010261535645,1.0,0.499980092048645,3.0,3.0
