,gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
count,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0
mean,0.4305248260498047,0.7942718267440796,0.43066641688346863,0.7945894002914429,0.6022416353225708,0.6775005459785461,,0.04014148563146591,0.973604679107666,0.03276388347148895,1.525,1.615
std,0.2967223823070526,0.22196727991104126,0.27562230825424194,0.1365613490343094,0.27210700511932373,0.2792550027370453,,0.11920101940631866,0.09851425141096115,0.11878793686628342,1.1427617960944727,1.1012897874673584
min,0.02860390767455101,0.05736476182937622,0.06928832828998566,0.2771293520927429,0.03259681165218353,0.04076502472162247,,2.6714372901304184e-13,0.23716723918914795,4.976748022895554e-29,0.0,0.0
25%,0.133218701928854,0.7070751637220383,0.1974559873342514,0.7068801373243332,0.3761848658323288,0.4581756889820099,,6.421566212111429e-07,0.9995007514953613,3.0903028286639726e-16,0.0,1.0
50%,0.4400363266468048,0.8501121401786804,0.4106232225894928,0.8023307025432587,0.6417984664440155,0.7465583384037018,,5.5477874411735684e-05,0.9999938607215881,5.532869735286328e-12,2.0,2.0
75%,0.6906719952821732,0.9726797044277191,0.670124351978302,0.897964596748352,0.841073527932167,0.9211544990539551,,0.002914161770604551,1.0,1.2372782265401838e-07,3.0,3.0
max,0.9342387318611145,0.9882440567016602,0.9342387318611145,0.9837526082992554,0.9825857877731323,0.9837439060211182,,0.6955972909927368,1.0,0.4999932050704956,3.0,3.0
