model,comprehensiveness,sufficiency,insertion_auc,deletion_auc,spearman_rho_gc_saliency
propose_cnn,0.37325264513492584,0.7761559293527777,0.7787828471962914,0.3686934664231305,0.274701229023617
resnet50,0.27376517891214763,8137.293172662146,0.3997226984085968,0.3613798414205272,0.1327114694155541
vgg16,0.3042823421225573,0.46155784245816056,0.5584020963420139,0.47168964781366524,-0.03441925313553089
vgg19,0.5195080217284461,0.45264757504674963,0.5598068954025891,0.4091779003728567,0.1673875077256334
