epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4650461971759796,0.0010000000474974513,1.2294241189956665,0.6607717275619507,1.0846519470214844
1,0.6225391626358032,0.0010000000474974513,1.0273056030273438,0.6672025918960571,0.9642851948738098
2,0.6635195016860962,0.0010000000474974513,0.9369657039642334,0.6913183331489563,0.898515522480011
3,0.6719565987586975,0.0010000000474974513,0.8876599073410034,0.7041800618171692,0.8471298813819885
4,0.6755725145339966,0.0010000000474974513,0.8499179482460022,0.7266880869865417,0.8087801933288574
5,0.6848132014274597,0.0010000000474974513,0.8171128630638123,0.7170417904853821,0.7820004224777222
6,0.6914423704147339,0.0010000000474974513,0.7968067526817322,0.7315112352371216,0.7573843002319336
7,0.6990759372711182,0.0010000000474974513,0.7752144932746887,0.7282958030700684,0.7419933080673218
8,0.7105262875556946,0.0010000000474974513,0.7591806650161743,0.7250803709030151,0.7315863370895386
9,0.7129369378089905,0.0010000000474974513,0.7405481934547424,0.7218649387359619,0.7217280268669128
10,0.7095218896865845,0.0010000000474974513,0.7288264632225037,0.737942099571228,0.7232860922813416
11,0.7123342752456665,0.0010000000474974513,0.7177907824516296,0.7459806799888611,0.6877363324165344
12,0.7225793600082397,0.0010000000474974513,0.7086442708969116,0.7411575317382812,0.6741002798080444
13,0.7296102643013,0.0010000000474974513,0.692846953868866,0.7588424682617188,0.6592161655426025
14,0.728003203868866,0.0010000000474974513,0.6879792809486389,0.7765273451805115,0.6851662397384644
15,0.7340297102928162,0.0010000000474974513,0.6763423085212708,0.7684887647628784,0.6418488025665283
16,0.7416633367538452,0.0010000000474974513,0.6654748320579529,0.7749196290969849,0.6343286633491516
17,0.7346323728561401,0.0010000000474974513,0.6667540669441223,0.7749196290969849,0.636786162853241
18,0.7394536137580872,0.0010000000474974513,0.6562780737876892,0.7733119130134583,0.6258279085159302
19,0.7452792525291443,0.0010000000474974513,0.6468410491943359,0.7411575317382812,0.6435245871543884
20,0.7478907108306885,0.0010000000474974513,0.6381867527961731,0.7893890738487244,0.6095559000968933
21,0.7537163496017456,0.0010000000474974513,0.6375982761383057,0.790996789932251,0.6016138792037964
22,0.7523101568222046,0.0010000000474974513,0.628304123878479,0.790996789932251,0.5954465866088867
23,0.7581357955932617,0.0010000000474974513,0.6238745450973511,0.7668810486793518,0.6118647456169128
24,0.7607473134994507,0.0010000000474974513,0.6187476515769958,0.7813504934310913,0.6004888415336609
25,0.7619525790214539,0.0010000000474974513,0.6126793026924133,0.7749196290969849,0.5933531522750854
26,0.7583366632461548,0.0010000000474974513,0.6074999570846558,0.7942122220993042,0.5782897472381592
27,0.7653676271438599,0.0010000000474974513,0.6031624674797058,0.7942122220993042,0.5748974680900574
28,0.7599437236785889,0.0010000000474974513,0.6016266345977783,0.7974276542663574,0.578674852848053
29,0.7641623020172119,0.0010000000474974513,0.5962141156196594,0.7942122220993042,0.5703946352005005
30,0.771795928478241,0.0010000000474974513,0.5889932513237,0.8086816668510437,0.5660179257392883
31,0.7689835429191589,0.0010000000474974513,0.5851094126701355,0.7636656165122986,0.5880412459373474
32,0.7744073867797852,0.0010000000474974513,0.582358181476593,0.8070739507675171,0.5623844861984253
33,0.7721976637840271,0.0010000000474974513,0.5816561579704285,0.7958199381828308,0.5538905262947083
34,0.771193265914917,0.0010000000474974513,0.5751667618751526,0.8022508025169373,0.550369918346405
35,0.7752109169960022,0.0010000000474974513,0.5726037621498108,0.8038585186004639,0.5567707419395447
36,0.7770189046859741,0.0010000000474974513,0.5699107050895691,0.7974276542663574,0.5443711280822754
37,0.7818400859832764,0.0010000000474974513,0.5637491345405579,0.8038585186004639,0.5411295294761658
38,0.7830454111099243,0.0010000000474974513,0.5618939995765686,0.7926045060157776,0.5472257137298584
39,0.7808356881141663,0.0010000000474974513,0.5581865906715393,0.8006430864334106,0.5474629998207092
40,0.7836480736732483,0.0010000000474974513,0.5560162663459778,0.8135048151016235,0.5353027582168579
41,0.7832462787628174,0.0010000000474974513,0.5548442602157593,0.8118970990180969,0.5324891209602356
42,0.7874648571014404,0.0010000000474974513,0.5498064756393433,0.8054662346839905,0.5351361036300659
43,0.7886701226234436,0.0010000000474974513,0.5468682050704956,0.7717041969299316,0.5686490535736084
44,0.7852551341056824,0.0010000000474974513,0.5455912947654724,0.7877813577651978,0.5399065613746643
45,0.7904781103134155,0.0010000000474974513,0.541910707950592,0.8167202472686768,0.5277880430221558
46,0.7866613268852234,0.0010000000474974513,0.5431015491485596,0.8006430864334106,0.5329241752624512
47,0.7914825081825256,0.0010000000474974513,0.5360851287841797,0.8118970990180969,0.5227034091949463
48,0.7864603996276855,0.0010000000474974513,0.5370074510574341,0.8086816668510437,0.5223603844642639
49,0.7936922311782837,0.0010000000474974513,0.5307754278182983,0.7877813577651978,0.5272595286369324
50,0.7872639894485474,0.0010000000474974513,0.5324646830558777,0.8263665437698364,0.509278416633606
51,0.7991161346435547,0.0010000000474974513,0.5263174772262573,0.7652733325958252,0.5608526468276978
52,0.7900763154029846,0.0010000000474974513,0.5293099284172058,0.8215433955192566,0.50762939453125
53,0.7916834354400635,0.0010000000474974513,0.5255495309829712,0.8231511116027832,0.5047663450241089
54,0.7993170022964478,0.0010000000474974513,0.5175842642784119,0.8135048151016235,0.5042598843574524
55,0.8021293878555298,0.0010000000474974513,0.5191500782966614,0.8118970990180969,0.5042212605476379
56,0.7999196648597717,0.0010000000474974513,0.5176684260368347,0.8135048151016235,0.5023120045661926
57,0.8031337857246399,0.0010000000474974513,0.5109162926673889,0.8118970990180969,0.5131966471672058
58,0.8023302555084229,0.0010000000474974513,0.5131153464317322,0.8038585186004639,0.5071573257446289
59,0.8027320504188538,0.0010000000474974513,0.5103784799575806,0.8327974081039429,0.4936085343360901
60,0.8045399785041809,0.0010000000474974513,0.5081165432929993,0.8086816668510437,0.5009721517562866
61,0.8029329180717468,0.0010000000474974513,0.5062955021858215,0.8311896920204163,0.4995849132537842
62,0.8071514368057251,0.0010000000474974513,0.5039429068565369,0.7958199381828308,0.5083650946617126
63,0.7981116771697998,0.0010000000474974513,0.5051283836364746,0.8086816668510437,0.4951280653476715
64,0.8127762079238892,0.0005000000237487257,0.4959634840488434,0.827974259853363,0.4879208207130432
65,0.811771810054779,0.0005000000237487257,0.49368029832839966,0.8360128402709961,0.48503896594047546
66,0.8129770755767822,0.0005000000237487257,0.495134562253952,0.8215433955192566,0.486332505941391
67,0.811771810054779,0.0005000000237487257,0.49305832386016846,0.8344051241874695,0.4856305420398712
68,0.8129770755767822,0.0005000000237487257,0.4919203221797943,0.8231511116027832,0.48714616894721985
69,0.8127762079238892,0.0005000000237487257,0.49300652742385864,0.8360128402709961,0.48636940121650696
70,0.8145841956138611,0.0002500000118743628,0.4888872802257538,0.8247588276863098,0.48474863171577454
71,0.8151867985725403,0.0002500000118743628,0.4886302947998047,0.8263665437698364,0.4811134934425354
72,0.8182000517845154,0.0002500000118743628,0.48696863651275635,0.8231511116027832,0.4903997778892517
73,0.8107673525810242,0.0002500000118743628,0.48850691318511963,0.8424437046051025,0.4834103584289551
74,0.8155885934829712,0.0002500000118743628,0.48628756403923035,0.8327974081039429,0.4813655912876129
75,0.8167939186096191,0.0002500000118743628,0.48591694235801697,0.8327974081039429,0.48763197660446167
76,0.8161912560462952,0.0001250000059371814,0.4848150312900543,0.8295819759368896,0.47987934947013855
77,0.8169947862625122,0.0001250000059371814,0.48455822467803955,0.8327974081039429,0.47959786653518677
78,0.8159903287887573,0.0001250000059371814,0.48448261618614197,0.8344051241874695,0.48043733835220337
79,0.8188027143478394,0.0001250000059371814,0.48382118344306946,0.8311896920204163,0.4794883728027344
80,0.8198071718215942,0.0001250000059371814,0.4836703836917877,0.8360128402709961,0.4807787835597992
81,0.8186018466949463,0.0001250000059371814,0.4833368957042694,0.8344051241874695,0.4824086129665375
82,0.8161912560462952,0.0001250000059371814,0.4831138849258423,0.8392282724380493,0.4819563627243042
83,0.8198071718215942,0.0001250000059371814,0.48290446400642395,0.8408359885215759,0.48153769969940186
84,0.8182000517845154,6.25000029685907e-05,0.48227372765541077,0.8376205563545227,0.4804479479789734
85,0.8184009790420532,6.25000029685907e-05,0.48229721188545227,0.8392282724380493,0.47971272468566895
86,0.8186018466949463,6.25000029685907e-05,0.48210278153419495,0.8360128402709961,0.47848793864250183
87,0.8177983164787292,6.25000029685907e-05,0.4818545877933502,0.8392282724380493,0.4786897897720337
88,0.8192045092582703,6.25000029685907e-05,0.4821239411830902,0.8360128402709961,0.4788318872451782
89,0.8167939186096191,6.25000029685907e-05,0.48196548223495483,0.8327974081039429,0.47782838344573975
90,0.8175974488258362,6.25000029685907e-05,0.4821030795574188,0.8392282724380493,0.479369580745697
91,0.8192045092582703,6.25000029685907e-05,0.4813189208507538,0.8311896920204163,0.4775410294532776
92,0.8200080394744873,6.25000029685907e-05,0.481484591960907,0.8392282724380493,0.47861793637275696
93,0.8186018466949463,6.25000029685907e-05,0.48087263107299805,0.8392282724380493,0.4799126088619232
94,0.8210124373435974,6.25000029685907e-05,0.4813421666622162,0.8392282724380493,0.47950488328933716
95,0.8190036416053772,6.25000029685907e-05,0.4809432625770569,0.8295819759368896,0.4774588346481323
96,0.8196062445640564,3.125000148429535e-05,0.48092323541641235,0.8392282724380493,0.4781576991081238
97,0.8182000517845154,3.125000148429535e-05,0.4806511402130127,0.8311896920204163,0.4774085581302643
98,0.8188027143478394,3.125000148429535e-05,0.4806162118911743,0.8327974081039429,0.4774986803531647
99,0.8179991841316223,3.125000148429535e-05,0.48036491870880127,0.8311896920204163,0.478094220161438
