epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7310164570808411,0.0010000000474974513,0.8842493891716003,0.8649517893791199,0.3410634994506836
1,0.8356769680976868,0.0010000000474974513,0.42681774497032166,0.8987138271331787,0.24972087144851685
2,0.8609883785247803,0.0010000000474974513,0.36334043741226196,0.9019292593002319,0.23401644825935364
3,0.8525512218475342,0.0010000000474974513,0.3620451092720032,0.909967839717865,0.22503381967544556
4,0.8764563798904419,0.0010000000474974513,0.31965571641921997,0.8971061110496521,0.23568986356258392
5,0.8760546445846558,0.0010000000474974513,0.3109081983566284,0.9083601236343384,0.2246188223361969
6,0.8754519820213318,0.0010000000474974513,0.30427393317222595,0.9308681488037109,0.16913117468357086
7,0.8933306336402893,0.0010000000474974513,0.26125478744506836,0.9356912970542908,0.15330809354782104
8,0.9069907665252686,0.0010000000474974513,0.2395782619714737,0.9324758648872375,0.17269347608089447
9,0.9007633328437805,0.0010000000474974513,0.23467972874641418,0.9485530257225037,0.15251079201698303
10,0.884893536567688,0.0010000000474974513,0.27992528676986694,0.9405144453048706,0.16248391568660736
11,0.8750502467155457,0.0010000000474974513,0.2909737229347229,0.9244372844696045,0.22377100586891174
12,0.886902391910553,0.0010000000474974513,0.2753925025463104,0.946945309638977,0.15627145767211914
13,0.8945359587669373,0.0010000000474974513,0.2616320550441742,0.9453375935554504,0.13684213161468506
14,0.8945359587669373,0.0010000000474974513,0.26289844512939453,0.950160801410675,0.13177372515201569
15,0.9063881039619446,0.0010000000474974513,0.23362496495246887,0.9356912970542908,0.16094541549682617
16,0.9134190678596497,0.0010000000474974513,0.22615957260131836,0.946945309638977,0.13161079585552216
17,0.9166331887245178,0.0010000000474974513,0.21384619176387787,0.9437298774719238,0.14858895540237427
18,0.9110084176063538,0.0010000000474974513,0.21943692862987518,0.9533762335777283,0.13374221324920654
19,0.9222579598426819,0.0010000000474974513,0.20304159820079803,0.9372990131378174,0.15580147504806519
20,0.919043779373169,0.0010000000474974513,0.20181025564670563,0.9485530257225037,0.14576537907123566
21,0.9335074424743652,0.0005000000237487257,0.15464740991592407,0.9533762335777283,0.13045907020568848
22,0.9417436718940735,0.0005000000237487257,0.13371744751930237,0.9437298774719238,0.16220781207084656
23,0.9469666481018066,0.0005000000237487257,0.12485697865486145,0.9614148139953613,0.12086773663759232
24,0.9481719732284546,0.0005000000237487257,0.12570133805274963,0.9581993818283081,0.1252477467060089
25,0.9515869617462158,0.0005000000237487257,0.11535055935382843,0.9581993818283081,0.14953839778900146
26,0.957412600517273,0.0005000000237487257,0.1064419075846672,0.9598070979118347,0.12049869447946548
27,0.9580152630805969,0.0005000000237487257,0.10267429798841476,0.9614148139953613,0.1282673329114914
28,0.9634391069412231,0.0005000000237487257,0.08955469727516174,0.9646302461624146,0.1274671107530594
29,0.9618320465087891,0.0005000000237487257,0.09551739692687988,0.9565916657447815,0.1525791585445404
30,0.96223384141922,0.0005000000237487257,0.09477005153894424,0.9533762335777283,0.18324169516563416
31,0.9698674082756042,0.0002500000118743628,0.08188609033823013,0.9614148139953613,0.14143140614032745
32,0.9656488299369812,0.0002500000118743628,0.09157098084688187,0.9549839496612549,0.1587793231010437
33,0.9694656729698181,0.0002500000118743628,0.07838835567235947,0.9646302461624146,0.1333896517753601
34,0.9690638780593872,0.0002500000118743628,0.0787544921040535,0.9581993818283081,0.1328611522912979
